,Portfolio,Cash
241,1160194.6622566676,576586.3422586676
242,1160194.6622566676,576586.3422586676
243,1160194.6622566676,576586.3422586676
244,1160194.6622566676,576586.3422586676
245,1160194.6622566676,576586.3422586676
246,1160194.6622566676,576586.3422586676
247,1160194.6622566676,576586.3422586676
248,1160194.6622566676,576586.3422586676
249,1160194.6622566676,576586.3422586676
250,1160194.6622566676,576586.3422586676
251,1160194.6622566676,576586.3422586676
252,1160194.6622566676,576586.3422586676
253,1160194.6622566676,576586.3422586676
254,1160194.6622566676,576586.3422586676
255,1160194.6622566676,576586.3422586676
256,1160194.6622566676,576586.3422586676
257,1160194.6622566676,576586.3422586676
258,1160194.6622566676,576586.3422586676
259,1160194.6622566676,576586.3422586676
260,1160194.6622566676,576586.3422586676
261,1160194.6622566676,576586.3422586676
262,1160194.6622566676,576586.3422586676
263,1160194.6622566676,576586.3422586676
264,1160194.6622566676,576586.3422586676
265,1160194.6622566676,576586.3422586676
266,1160194.6622566676,576586.3422586676
267,1160194.6622566676,576586.3422586676
268,1160194.6622566676,576586.3422586676
269,1160194.6622566676,576586.3422586676
270,1160194.6622566676,576586.3422586676
271,1160194.6622566676,576586.3422586676
272,1160194.6622566676,576586.3422586676
273,1160194.6622566676,576586.3422586676
274,1160194.6622566676,576586.3422586676
275,1160194.6622566676,576586.3422586676
276,1160194.6622566676,576586.3422586676
277,1160194.6622566676,576586.3422586676
278,1160194.6622566676,576586.3422586676
279,1160194.6622566676,576586.3422586676
280,1160194.6622566676,576586.3422586676
281,1160194.6622566676,576586.3422586676
282,1160194.6622566676,576586.3422586676
283,1160194.6622566676,576586.3422586676
284,1160194.6622566676,576586.3422586676
285,1160194.6622566676,576586.3422586676
286,1160194.6622566676,576586.3422586676
287,1160194.6622566676,576586.3422586676
288,1160194.6622566676,576586.3422586676
289,1160194.6622566676,576586.3422586676
290,1160194.6622566676,576586.3422586676
291,1160194.6622566676,576586.3422586676
292,1160194.6622566676,576586.3422586676
293,1160194.6622566676,576586.3422586676
294,1160194.6622566676,576586.3422586676
295,1160194.6622566676,576586.3422586676
296,1160194.6622566676,576586.3422586676
297,1160194.6622566676,576586.3422586676
298,1160194.6622566676,576586.3422586676
299,1160194.6622566676,576586.3422586676
300,1160194.6622566676,576586.3422586676
301,1160194.6622566676,576586.3422586676
302,1160194.6622566676,576586.3422586676
303,1160194.6622566676,576586.3422586676
304,1160194.6622566676,576586.3422586676
305,1160194.6622566676,576586.3422586676
306,1160194.6622566676,576586.3422586676
307,1160194.6622566676,576586.3422586676
308,1160194.6622566676,576586.3422586676
309,1160194.6622566676,576586.3422586676
310,1160194.6622566676,576586.3422586676
311,1160194.6622566676,576586.3422586676
312,1160194.6622566676,576586.3422586676
313,1160194.6622566676,576586.3422586676
314,1160194.6622566676,576586.3422586676
315,1160194.6622566676,576586.3422586676
316,1160194.6622566676,576586.3422586676
317,1019681.380048495,1019681.380048495
318,1019681.380048495,1019681.380048495
319,1019681.380048495,1019681.380048495
320,1019681.380048495,1019681.380048495
321,1019681.380048495,1019681.380048495
322,1019681.380048495,1019681.380048495
323,1019681.380048495,1019681.380048495
324,1019681.380048495,1019681.380048495
325,1019681.380048495,1019681.380048495
326,1019681.380048495,1019681.380048495
327,1019681.380048495,1019681.380048495
328,1019681.380048495,1019681.380048495
329,1019681.380048495,1019681.380048495
330,1019681.380048495,1019681.380048495
331,1019681.380048495,1019681.380048495
332,1019681.380048495,1019681.380048495
333,1019681.380048495,1019681.380048495
334,1019681.380048495,1019681.380048495
335,1019681.380048495,1019681.380048495
336,1019681.380048495,1019681.380048495
337,1019681.380048495,1019681.380048495
338,1019681.380048495,1019681.380048495
339,1019681.380048495,1019681.380048495
340,1019681.380048495,1019681.380048495
341,1019681.380048495,1019681.380048495
342,1019681.380048495,1019681.380048495
343,1019681.380048495,1019681.380048495
344,1019681.380048495,1019681.380048495
345,1019681.380048495,1019681.380048495
346,1019681.380048495,1019681.380048495
347,1019681.380048495,1019681.380048495
348,1019681.380048495,1019681.380048495
349,1019681.380048495,1019681.380048495
350,1019681.380048495,1019681.380048495
351,1019681.380048495,1019681.380048495
352,1019681.380048495,1019681.380048495
353,1019681.380048495,1019681.380048495
354,1019681.380048495,1019681.380048495
355,1019681.380048495,1019681.380048495
356,1019681.380048495,1019681.380048495
357,1019681.380048495,1019681.380048495
358,1019681.380048495,1019681.380048495
359,1019681.380048495,1019681.380048495
360,1019681.380048495,1019681.380048495
361,1019681.380048495,1019681.380048495
362,1019681.380048495,1019681.380048495
363,1019681.380048495,1019681.380048495
364,1019681.380048495,1019681.380048495
365,1019681.380048495,1019681.380048495
366,1019681.380048495,1019681.380048495
367,1019681.380048495,1019681.380048495
368,1019681.380048495,1019681.380048495
369,1019681.380048495,1019681.380048495
370,1019681.380048495,1019681.380048495
371,1019681.380048495,1019681.380048495
372,1019681.380048495,1019681.380048495
373,1019681.380048495,1019681.380048495
374,1019681.380048495,1019681.380048495
